amazon    yandex
https://www.amazon.com/Apple-iPad-10-2-Inch-Wi-Fi-128GB/dp/B07XL7G4HH?ref_=ast_sto_dp&th=1    https://market.yandex.ru/product--planshet-apple-ipad-2019-32gb-wi-fi/560271031/offers?glfilter=14871214%3A14897983&local-offers-first=1&how=aprice
https://www.amazon.com/Apple-iPad-10-2-Inch-Wi-Fi-128GB/dp/B07XL7G4H6?ref_=ast_sto_dp&th=1    https://market.yandex.ru/product--planshet-apple-ipad-2019-32gb-wi-fi/560271031/offers?glfilter=14871214%3A15324855&local-offers-first=1&how=aprice
https://www.amazon.com/Apple-iPad-10-2-Inch-Wi-Fi-128GB/dp/B07XQYPM2N?ref_=ast_sto_dp&th=1    https://market.yandex.ru/product--planshet-apple-ipad-2019-32gb-wi-fi/560271031/offers?glfilter=14871214%3A14896128&local-offers-first=1&how=aprice
